edate,AH3,AH1
2011-01,1996.10472209979,1081.22339113739
2011-02,4142.50213926549,1200.72525775811
2011-03,4115.91339509323,646.786390657508
2011-04,2144.16606342479,517.557325654259
2011-05,606.196573752953,484.957259002362
2011-06,423.927762563889,1865.28215528111
2011-07,3138.75679178067,11209.845684931
2011-08,9250.37654245364,17638.4298478989
2011-09,10468.1455971848,13468.1629329633
2011-10,6831.40323657711,4664.19945118024
2011-11,2722.64983675509,256.853758184442
2011-12,2358.74963697523,65.5208232493121
2012-01,2462.4689386743,100.50893627242
2012-02,346.916930938355,148.678684687866
2012-03,1036.95285432963,153.622645085872
2012-04,2337.60701784763,314.677867787181
2012-05,2244.69649782514,178.150515700408
2012-06,13475.1628129668,386.846779319621
2012-07,50062.5123389786,1225.70802972251
2012-08,52071.6436436894,1193.61933853729
2012-09,11428.0520293833,225.341871001923
2012-10,748.092005025809,45.3389093955036
2012-11,475.626105491538,29.7266315932211
2012-12,185.839219128622,212.387679004139
2013-01,1026.47907927466,667.21140152853
2013-02,1529.08454042459,648.702532301342
2013-03,1303.64507399448,1140.68943974517
2013-04,401.876247249292,312.570414527227
2013-05,444.529616606835,68.3891717856669
2013-06,885.149118353706,372.694365622613
2013-07,5902.95185992001,1547.37573027029
2013-08,15166.6992483705,4761.6381361163
2013-09,15355.0196994705,10781.184044309
2013-10,4518.06456217635,3711.26731893058
2013-11,3376.14044145119,2272.40222020753
2013-12,2855.70355829338,601.200749114396
2014-01,4224.52627252848,2485.01545442852
2014-02,4993.04666439401,1459.50594805363
2014-03,2965.52292713146,2965.52292713146
2014-04,3286.65532084437,1095.55177361479
2014-05,1314.43792884916,1855.67707602235
2014-06,1715.81924138051,5290.44266092324
2014-07,8347.68473032967,28799.5123196374
2014-08,30387.6710742264,49649.4213890106
2014-09,17350.2657733391,25447.056467564
2014-10,3932.06354820186,2201.95558699304
2014-11,1207.24215107051,917.504034813587
2014-12,1330.74139331632,277.237790274233
2015-01,3056.85389165034,374.308639793919
2015-02,878.203194070719,204.914078616501
2015-03,1591.12329348539,379.969741727854
2015-04,2596.14771671126,375.758222155577
2015-05,2964.914334824,459.352925113578
2015-06,5194.71232977988,714.272945344734
2015-07,9565.38949707607,1347.23795733466
2015-08,22587.627919244,2923.10478954923
2015-09,24075.1843002502,2282.9916146789
2015-10,7108.05837557472,1051.48792538088
2015-11,1771.29703759041,145.871520742739
2015-12,661.214415692166,692.700816439412
2016-01,583.769880352644,914.572812552476
2016-02,279.2190998717,1265.79325275171
2016-03,425.925120095621,1367.44380662278
2016-04,474.302747849678,1131.02962948769
2016-05,963.468064826308,1259.91977708056
2016-06,1739.70512891261,2925.86771680758
2016-07,10325.0713777101,4196.64191481122
2016-08,41258.2981186739,3349.03885517984
2016-09,39882.952848113,1561.68188863093
2016-10,7448.19847664067,331.418667578859
2016-11,1379.23385790263,0
2016-12,752.620350592324,35.8390643139202
2017-01,1894.86373100475,178.340115859271
2017-02,2996.58050100074,72.4979153467921
2017-03,2372.65688216381,296.582110270476
2017-04,926.081875935314,257.244965537587
2017-05,650.455648003991,737.183067737857
2017-06,1399.85036805345,1066.55266137406
2017-07,16599.121795111,6402.51840668565
2017-08,80150.6270511561,14992.2036210796
2017-09,56744.2382989581,9819.67664090293
2017-10,10132.9794255948,2427.39897103386
2017-11,1173.84600778117,260.854668395815
2017-12,554.350993341568,224.099337733825
2018-01,846.12094552128,681.024175663469
2018-02,1918.23089025202,630.997003372374
2018-03,1009.53857593566,563.463391219905
2018-04,508.107708221667,707.721450737323
2018-05,564.293739349669,634.830456768378
2018-06,287.336838301163,1417.52840228574
2018-07,423.672757237633,3217.26500027327
2018-08,698.133187777127,6098.39872852373
2018-09,2071.22968322207,9630.33288609235
2018-10,3014.72234413174,3930.96148793648
2018-11,3014.72234413174,3930.96148793648
2018-12,3014.72234413174,3930.96148793648
