edate,AH1,B
2011-01,1081.22339113739,890.805506463393
2011-02,1200.72525775811,180.108788663717
2011-03,646.786390657508,352.792576722277
2011-04,517.557325654259,431.630819850656
2011-05,484.957259002362,155.879118965045
2011-06,1865.28215528111,1107.6822183121
2011-07,11209.845684931,3358.18355837932
2011-08,17638.4298478989,9066.25460423991
2011-09,13468.1629329633,5581.0045795682
2011-10,4664.19945118024,2169.85271616303
2011-11,256.853758184442,893.851078481859
2011-12,65.5208232493121,524.166585994497
2012-01,100.50893627242,1035.04875719002
2012-02,148.678684687866,1387.66772375342
2012-03,153.622645085872,2073.90570865927
2012-04,314.677867787181,1193.52819853566
2012-05,178.150515700408,1425.20412560326
2012-06,386.846779319621,3925.08515337142
2012-07,1225.70802972251,19951.765013511
2012-08,1193.61933853729,20879.5863272974
2012-09,225.341871001923,7514.2102745653
2012-10,45.3389093955036,634.74473153705
2012-11,29.7266315932211,202.141094833904
2012-12,212.387679004139,74.6675433998927
2013-01,667.21140152853,871.040818698785
2013-02,648.702532301342,453.705640151236
2013-03,1140.68943974517,418.109851034415
2013-04,312.570414527227,126.078822666445
2013-05,68.3891717856669,192.344545647188
2013-06,372.694365622613,359.383852564663
2013-07,1547.37573027029,2446.37622364458
2013-08,4761.6381361163,4008.90752049442
2013-09,10781.184044309,4517.36854830757
2013-10,3711.26731893058,1709.47473858743
2013-11,2272.40222020753,1596.32727394703
2013-12,601.200749114396,1460.66379186244
2014-01,2485.01545442852,1063.70783476147
2014-02,1459.50594805363,531.386685730983
2014-03,2965.52292713146,2075.86604899202
2014-04,1095.55177361479,1430.92476553769
2014-05,1855.67707602235,1368.91329755815
2014-06,5290.44266092324,1145.25434941504
2014-07,28799.5123196374,2638.87192158236
2014-08,49649.4213890106,6733.88999089734
2014-09,25447.056467564,7145.42286974658
2014-10,2201.95558699304,2969.64418449912
2014-11,917.504034813587,2077.52960397556
2014-12,277.237790274233,964.78751015433
2015-01,374.308639793919,561.462959690878
2015-02,204.914078616501,245.506581809103
2015-03,379.969741727854,586.634831908703
2015-04,375.758222155577,1182.00804386749
2015-05,459.352925113578,4661.9542213608
2015-06,714.272945344734,12389.8078349387
2015-07,1347.23795733466,26098.2716831389
2015-08,2923.10478954923,36379.967196249
2015-09,2282.9916146789,20167.9982379382
2015-10,1051.48792538088,4241.34832475415
2015-11,145.871520742739,479.292139583286
2015-12,692.700816439412,141.688803362607
2016-01,914.572812552476,77.8359840470193
2016-02,1265.79325275171,297.833706529813
2016-03,1367.44380662278,560.427789599501
2016-04,1131.02962948769,839.151015426354
2016-05,1259.91977708056,1006.37554949469
2016-06,2925.86771680758,1160.22181877698
2016-07,4196.64191481122,3785.88747046841
2016-08,3349.03885517984,8792.65775881361
2016-09,1561.68188863093,5997.6407533106
2016-10,331.418667578859,1614.85992236072
2016-11,0,412.591325013607
2016-12,35.8390643139202,356.078445441529
2017-01,178.340115859271,269.041720585408
2017-02,72.4979153467921,266.87638403022
2017-03,296.582110270476,199.569270462376
2017-04,257.244965537587,336.006387084898
2017-05,737.183067737857,426.965758689799
2017-06,1066.55266137406,1080.17650923833
2017-07,6402.51840668565,5491.10774048195
2017-08,14992.2036210796,32923.3255698645
2017-09,9819.67664090293,24264.1447461821
2017-10,2427.39897103386,7854.13239689933
2017-11,260.854668395815,1434.70067617699
2017-12,224.099337733825,609.221998232916
2018-01,681.024175663469,717.094230817187
2018-02,630.997003372374,1009.75910072135
2018-03,563.463391219905,655.417486314819
2018-04,707.721450737323,191.973025098788
2018-05,634.830456768378,225.577819071712
2018-06,1417.52840228574,183.167339897766
2018-07,3217.26500027327,224.508226334453
2018-08,6098.39872852373,368.80405747369
2018-09,9630.33288609235,737.293576521844
2018-10,3930.96148793648,567.393890506981
2018-11,3930.96148793648,567.393890506981
2018-12,3930.96148793648,567.393890506981
