Year,AH3,AH1,B
2011,289,97,334
2012,401,334,502
2013,488,184,417
2014,382,100,290
2015,411,376,661
2016,323,43,212
2017,196,457,324
2018,35,32,57
NA,NA,NA,NA
2010,0,15,123
2011,243,0,3
2012,21,59,250
2013,105,261,3
2014,143,31,60
2015,30,211,80
2016,264,12,7
2017,10,78,362
2018,198,381,0
NA,NA,NA,NA
2010,9,477,421
2011,379,6,56
2012,330,589,812
2013,222,157,22
2014,2220,232,550
2015,47,2140,1112
2016,2891,11,118
2017,368,328,1986
2018,271,230,29
NA,NA,NA,NA
2010,8,218,295
2011,136,1,1
2012,68,150,179
2013,106,3,3
2014,102,193,113
2015,76,117,1
2016,73,1,77
2017,26,252,74
2018,16,2,0
NA,NA,NA,NA
2010,361,100,6
2011,166,33,238
2012,358,102,1
2013,150,206,315
2014,289,0,24
2015,3,266,197
2016,477,0,14
2017,55,115,237
2018,139,594,0
NA,NA,NA,NA
2010,5585,1002,2889
2011,1964,912,6197
2012,6893,1058,4181
2013,581,10414,7295
2014,13034,96,8455
2015,1075,11142,10775
2016,17339,149,4177
2017,10937,1223,28141
2018,4773,10900,2097
NA,NA,NA,NA
2010,0,265,169
2011,193,10,19
2012,53,169,39
2013,36,74,6
2014,105,5,40
2015,16,140,24
2016,147,0,14
2017,121,6,174
2018,69,94,0
NA,NA,NA,NA
2010,337,255,696
2011,220,962,221
2012,670,3,593
2013,261,857,152
2014,615,77,122
2015,297,379,146
2016,277,243,430
2017,793,75,303
2018,23,588,439
NA,NA,NA,NA
2010,10,482,1216
2011,401,2,27
2012,58,189,1024
2013,75,82,18
2014,119,48,458
2015,0,216,446
2016,335,1,1249
2017,75,73,1260
2018,107,277,3
NA,NA,NA,NA
2010,6,283,314
2011,196,53,97
2012,63,229,459
2013,136,88,4
2014,305,60,66
2015,0,134,179
2016,302,1,1
2017,23,79,235
2018,185,57,1
NA,NA,NA,NA
2010,6,478,470
2011,406,2,35
2012,47,254,937
2013,389,28,10
2014,116,431,1437
2015,387,96,282
2016,516,0,1573
2017,45,340,1446
2018,262,605,39
NA,NA,NA,NA
2010,13,688,198
2011,323,0,90
2012,176,988,1102
2013,242,234,52
2014,644,247,660
2015,103,307,1034
2016,1012,21,42
2017,138,676,3503
2018,157,340,16
NA,NA,NA,NA
2010,302,457,363
2011,148,42,224
2012,222,630,92
2013,237,176,338
2014,251,71,111
2015,8,837,778
2016,455,5,30
2017,81,255,1066
2018,451,416,13
NA,NA,NA,NA
2010,294,1649,15
2011,1934,0,1832
2012,1272,331,91
2013,637,346,1106
2014,835,176,594
2015,58,582,667
2016,864,4,303
2017,705,205,992
2018,368,755,628
NA,NA,NA,NA
2010,132,22,890
2011,846,239,42
2012,235,529,1097
2013,1010,3116,499
2014,1119,13,541
2015,1056,187,262
2016,26,3967,762
2017,2703,8,1033
2018,132,1567,1693
NA,NA,NA,NA
2010,1877,599,415
2011,177,812,14
2012,1219,8,539
2013,449,1358,492
2014,1351,7,280
2015,661,953,507
2016,553,1864,840
2017,1798,0,732
2018,1875,196,507
NA,NA,NA,NA
2010,55,3553,4025
2011,1272,10,299
2012,2447,581,4299
2013,534,2020,212
2014,2861,149,1311
2015,169,4626,5156
2016,4176,32,2461
2017,7015,885,21949
2018,2067,6540,594
NA,NA,NA,NA
2010,40,304,51
2011,114,0,2
2012,36,99,130
2013,98,32,0
2014,144,189,84
2015,35,230,193
2016,437,1,5
2017,1,197,674
2018,218,1610,0
NA,NA,NA,NA
2010,0,0,27
2011,176,185,14
2012,333,19,247
2013,356,234,17
2014,322,30,197
2015,163,753,46
2016,796,0,476
2017,125,168,133
2018,141,298,36
